soil,uv,timestamp,date
84,0,1709475166,2024-03-03 16:12:46
84,0,1709475275,2024-03-03 16:14:35
84,0,1709475386,2024-03-03 16:16:26
85,0,1709475494,2024-03-03 16:18:14
84,0,1709475605,2024-03-03 16:20:05
85,0,1709475713,2024-03-03 16:21:53
85,0,1709475823,2024-03-03 16:23:43
85,0,1709475935,2024-03-03 16:25:35
85,0,1709476045,2024-03-03 16:27:25
84,0,1709476155,2024-03-03 16:29:15
84,0,1709476263,2024-03-03 16:31:03
85,0,1709476373,2024-03-03 16:32:53
85,0,1709476485,2024-03-03 16:34:45
84,0,1709476594,2024-03-03 16:36:34
84,0,1709476705,2024-03-03 16:38:25
84,0,1709476813,2024-03-03 16:40:13
84,0,1709476925,2024-03-03 16:42:05
84,0,1709477034,2024-03-03 16:43:54
84,0,1709477143,2024-03-03 16:45:43
84,0,1709477256,2024-03-03 16:47:36
85,0,1709477364,2024-03-03 16:49:24
85,0,1709477476,2024-03-03 16:51:16
84,0,1709477584,2024-03-03 16:53:04
85,0,1709477694,2024-03-03 16:54:54
85,0,1709477803,2024-03-03 16:56:43
85,0,1709477913,2024-03-03 16:58:33
85,0,1709478024,2024-03-03 17:00:24
85,0,1709478133,2024-03-03 17:02:13
85,0,1709478243,2024-03-03 17:04:03
88,0,1709478356,2024-03-03 17:05:56
85,0,1709478463,2024-03-03 17:07:43
85,0,1709478575,2024-03-03 17:09:35
85,0,1709478685,2024-03-03 17:11:25
85,0,1709478796,2024-03-03 17:13:16
85,0,1709478904,2024-03-03 17:15:04
85,0,1709479015,2024-03-03 17:16:55
85,0,1709479123,2024-03-03 17:18:43
85,0,1709479235,2024-03-03 17:20:35
85,0,1709479343,2024-03-03 17:22:23
85,0,1709479455,2024-03-03 17:24:15
85,0,1709479564,2024-03-03 17:26:04
85,0,1709479674,2024-03-03 17:27:54
85,0,1709479785,2024-03-03 17:29:45
85,0,1709479893,2024-03-03 17:31:33
85,0,1709480005,2024-03-03 17:33:25
85,0,1709480113,2024-03-03 17:35:13
85,0,1709480225,2024-03-03 17:37:05
85,0,1709480335,2024-03-03 17:38:55
85,0,1709480445,2024-03-03 17:40:45
85,0,1709480555,2024-03-03 17:42:35
85,0,1709480665,2024-03-03 17:44:25
85,0,1709480774,2024-03-03 17:46:14
85,0,1709480884,2024-03-03 17:48:04
85,0,1709480995,2024-03-03 17:49:55
85,0,1709481104,2024-03-03 17:51:44
85,0,1709481214,2024-03-03 17:53:34
85,0,1709481323,2024-03-03 17:55:23
85,0,1709481434,2024-03-03 17:57:14
85,0,1709481545,2024-03-03 17:59:05
85,0,1709481653,2024-03-03 18:00:53
88,0,1709481766,2024-03-03 18:02:46
85,0,1709481874,2024-03-03 18:04:34
85,0,1709481983,2024-03-03 18:06:23
85,0,1709482095,2024-03-03 18:08:15
85,0,1709482205,2024-03-03 18:10:05
85,0,1709482314,2024-03-03 18:11:54
85,0,1709482423,2024-03-03 18:13:43
85,0,1709482534,2024-03-03 18:15:34
85,0,1709482645,2024-03-03 18:17:25
85,0,1709482754,2024-03-03 18:19:14
84,0,1709482864,2024-03-03 18:21:04
85,0,1709482975,2024-03-03 18:22:55
85,0,1709483083,2024-03-03 18:24:43
85,0,1709483193,2024-03-03 18:26:33
85,0,1709483304,2024-03-03 18:28:24
84,0,1709483413,2024-03-03 18:30:13
84,0,1709483523,2024-03-03 18:32:03
84,0,1709483635,2024-03-03 18:33:55
84,0,1709483745,2024-03-03 18:35:45
84,0,1709483855,2024-03-03 18:37:35
85,0,1709483964,2024-03-03 18:39:24
85,0,1709484075,2024-03-03 18:41:15
84,0,1709484185,2024-03-03 18:43:05
84,0,1709484295,2024-03-03 18:44:55
84,0,1709484404,2024-03-03 18:46:44
84,0,1709484515,2024-03-03 18:48:35
84,0,1709484624,2024-03-03 18:50:24
84,0,1709484734,2024-03-03 18:52:14
84,0,1709484844,2024-03-03 18:54:04
84,0,1709484955,2024-03-03 18:55:55
84,0,1709485063,2024-03-03 18:57:43
88,0,1709485176,2024-03-03 18:59:36
84,0,1709485283,2024-03-03 19:01:23
84,0,1709485394,2024-03-03 19:03:14
84,0,1709485504,2024-03-03 19:05:04
84,0,1709485615,2024-03-03 19:06:55
84,0,1709485724,2024-03-03 19:08:44
84,0,1709485833,2024-03-03 19:10:33
84,0,1709485946,2024-03-03 19:12:26
84,0,1709486054,2024-03-03 19:14:14
84,0,1709486165,2024-03-03 19:16:05
84,0,1709486274,2024-03-03 19:17:54
76,0,1709486385,2024-03-03 19:19:45
84,0,1709486495,2024-03-03 19:21:35
84,0,1709486603,2024-03-03 19:23:23
84,0,1709486715,2024-03-03 19:25:15
84,0,1709486825,2024-03-03 19:27:05
84,0,1709486936,2024-03-03 19:28:56
84,0,1709487045,2024-03-03 19:30:45
84,0,1709487156,2024-03-03 19:32:36
84,0,1709487265,2024-03-03 19:34:25
84,0,1709487373,2024-03-03 19:36:13
84,0,1709487484,2024-03-03 19:38:04
84,0,1709487593,2024-03-03 19:39:53
84,0,1709487704,2024-03-03 19:41:44
84,0,1709487814,2024-03-03 19:43:34
84,0,1709487924,2024-03-03 19:45:24
84,0,1709488034,2024-03-03 19:47:14
84,0,1709488144,2024-03-03 19:49:04
84,0,1709488255,2024-03-03 19:50:55
84,0,1709488364,2024-03-03 19:52:44
84,0,1709488473,2024-03-03 19:54:33
89,0,1709488586,2024-03-03 19:56:26
84,0,1709488695,2024-03-03 19:58:15
84,0,1709488805,2024-03-03 20:00:05
84,0,1709488914,2024-03-03 20:01:54
84,0,1709489024,2024-03-03 20:03:44
84,0,1709489135,2024-03-03 20:05:35
84,0,1709489244,2024-03-03 20:07:24
84,0,1709489354,2024-03-03 20:09:14
84,0,1709489465,2024-03-03 20:11:05
84,0,1709489575,2024-03-03 20:12:55
84,0,1709489683,2024-03-03 20:14:43
84,0,1709489794,2024-03-03 20:16:34
84,0,1709489906,2024-03-03 20:18:26
84,0,1709490015,2024-03-03 20:20:15
84,0,1709490125,2024-03-03 20:22:05
84,0,1709490233,2024-03-03 20:23:53
84,0,1709490343,2024-03-03 20:25:43
84,0,1709490453,2024-03-03 20:27:33
84,0,1709490564,2024-03-03 20:29:24
84,0,1709490675,2024-03-03 20:31:15
84,0,1709490785,2024-03-03 20:33:05
84,0,1709490895,2024-03-03 20:34:55
84,0,1709491003,2024-03-03 20:36:43
84,0,1709491113,2024-03-03 20:38:33
84,0,1709491223,2024-03-03 20:40:23
84,0,1709491335,2024-03-03 20:42:15
84,0,1709491445,2024-03-03 20:44:05
84,0,1709491553,2024-03-03 20:45:53
84,0,1709491663,2024-03-03 20:47:43
84,0,1709491774,2024-03-03 20:49:34
84,0,1709491883,2024-03-03 20:51:23
89,0,1709491996,2024-03-03 20:53:16
84,0,1709492105,2024-03-03 20:55:05
84,0,1709492213,2024-03-03 20:56:53
84,0,1709492324,2024-03-03 20:58:44
84,0,1709492436,2024-03-03 21:00:36
84,0,1709492543,2024-03-03 21:02:23
84,0,1709492655,2024-03-03 21:04:15
84,0,1709492765,2024-03-03 21:06:05
84,0,1709492873,2024-03-03 21:07:53
84,0,1709492984,2024-03-03 21:09:44
84,0,1709493095,2024-03-03 21:11:35
84,0,1709493203,2024-03-03 21:13:23
84,0,1709493315,2024-03-03 21:15:15
84,0,1709493426,2024-03-03 21:17:06
84,0,1709493536,2024-03-03 21:18:56
85,0,1709493643,2024-03-03 21:20:43
84,0,1709493753,2024-03-03 21:22:33
84,0,1709493864,2024-03-03 21:24:24
84,0,1709493976,2024-03-03 21:26:16
84,0,1709494083,2024-03-03 21:28:03
84,0,1709494193,2024-03-03 21:29:53
84,0,1709494304,2024-03-03 21:31:44
85,0,1709494414,2024-03-03 21:33:34
85,0,1709494524,2024-03-03 21:35:24
84,0,1709494633,2024-03-03 21:37:13
84,0,1709494743,2024-03-03 21:39:03
84,0,1709494854,2024-03-03 21:40:54
84,0,1709494965,2024-03-03 21:42:45
85,0,1709495075,2024-03-03 21:44:35
